,Province,Location,Area,AreaSegment,Price/m2,BedRoom,Toilet,Price,PriceSegment,Province_encoded
772,Đà Nẵng,"Thanh Khê, Đà Nẵng",56.7,50m² - 100m²,49380000.0,1.0,1.0,2800000000.0,1 tỷ - 5 tỷ,3
773,Đà Nẵng,"Hải Châu, Đà Nẵng",96.1,50m² - 100m²,46830000.0,3.0,3.0,4500000000.0,1 tỷ - 5 tỷ,3
774,Đà Nẵng,"Liên Chiểu, Đà Nẵng",90.0,50m² - 100m²,47220000.0,4.0,2.0,4250000000.0,1 tỷ - 5 tỷ,3
775,Đà Nẵng,"Ngũ Hành Sơn, Đà Nẵng",400.0,350m² - 500m²,72500000.0,3.0,2.0,29000000000.0,20 tỷ - 40 tỷ,3
776,Đà Nẵng,"Thanh Khê, Đà Nẵng",89.0,50m² - 100m²,58430000.0,3.0,2.0,5200000000.0,5 tỷ - 10 tỷ,3
777,Khánh Hòa,"Nha Trang, Khánh Hòa",72.3,50m² - 100m²,85750000.0,3.0,4.0,6200000000.0,5 tỷ - 10 tỷ,0
778,Khánh Hòa,"Nha Trang, Khánh Hòa",44.0,30m² - 50m²,87500000.0,2.0,3.0,3850000000.0,1 tỷ - 5 tỷ,0
779,Đà Nẵng,"Liên Chiểu, Đà Nẵng",70.0,50m² - 100m²,35710000.0,1.0,1.0,2500000000.0,1 tỷ - 5 tỷ,3
780,Đà Nẵng,"Sơn Trà, Đà Nẵng",108.0,100m² - 150m²,175930000.0,4.0,4.0,19000000000.0,10 tỷ - 20 tỷ,3
781,Đà Nẵng,"Sơn Trà, Đà Nẵng",108.0,100m² - 150m²,175930000.0,4.0,4.0,19000000000.0,10 tỷ - 20 tỷ,3
782,Đà Nẵng,"Ngũ Hành Sơn, Đà Nẵng",100.0,50m² - 100m²,75000000.0,7.0,8.0,7500000000.0,5 tỷ - 10 tỷ,3
783,Khánh Hòa,"Nha Trang, Khánh Hòa",27.0,Dưới 30m²,229630000.0,2.0,2.0,6200000000.0,5 tỷ - 10 tỷ,0
784,Đà Nẵng,"Ngũ Hành Sơn, Đà Nẵng",650.0,Trên 500m²,40000000.0,2.0,2.0,26000000000.0,20 tỷ - 40 tỷ,3
785,Lâm Đồng,"Đà Lạt, Lâm Đồng",80.23,50m² - 100m²,118410000.0,5.0,4.0,9500000000.0,5 tỷ - 10 tỷ,2
786,Đà Nẵng,"Hải Châu, Đà Nẵng",60.0,50m² - 100m²,49830000.0,4.0,3.0,2990000000.0,1 tỷ - 5 tỷ,3
787,Khánh Hòa,"Nha Trang, Khánh Hòa",64.8,50m² - 100m²,40120000.0,2.0,1.0,2600000000.0,1 tỷ - 5 tỷ,0
788,Khánh Hòa,"Nha Trang, Khánh Hòa",102.0,100m² - 150m²,105880000.0,3.0,4.0,10800000000.0,10 tỷ - 20 tỷ,0
789,Khánh Hòa,"Nha Trang, Khánh Hòa",115.4,100m² - 150m²,86660000.0,4.0,6.0,10000000000.0,5 tỷ - 10 tỷ,0
790,Khánh Hòa,"Nha Trang, Khánh Hòa",152.0,150m² - 250m²,64470000.0,4.0,6.0,9800000000.0,5 tỷ - 10 tỷ,0
791,Đà Nẵng,"Sơn Trà, Đà Nẵng",80.0,50m² - 100m²,67500000.0,2.0,1.0,5400000000.0,5 tỷ - 10 tỷ,3
792,Đà Nẵng,"Liên Chiểu, Đà Nẵng",108.6,100m² - 150m²,96680000.0,4.0,4.0,10500000000.0,10 tỷ - 20 tỷ,3
793,Đà Nẵng,"Hải Châu, Đà Nẵng",85.3,50m² - 100m²,166470000.0,4.0,4.0,14200000000.0,10 tỷ - 20 tỷ,3
794,Đà Nẵng,"Hải Châu, Đà Nẵng",85.3,50m² - 100m²,166470000.0,4.0,4.0,14200000000.0,10 tỷ - 20 tỷ,3
795,Đà Nẵng,"Ngũ Hành Sơn, Đà Nẵng",280.1,250m² - 350m²,66050000.0,3.0,3.0,18500000000.0,10 tỷ - 20 tỷ,3
796,Đà Nẵng,"Liên Chiểu, Đà Nẵng",85.0,50m² - 100m²,70590000.0,4.0,4.0,6000000000.0,5 tỷ - 10 tỷ,3
797,Khánh Hòa,"Nha Trang, Khánh Hòa",73.0,50m² - 100m²,55480000.0,3.0,2.0,4050000000.0,1 tỷ - 5 tỷ,0
798,Đà Nẵng,"Sơn Trà, Đà Nẵng",92.0,50m² - 100m²,70650000.0,3.0,2.0,6500000000.0,5 tỷ - 10 tỷ,3
799,Khánh Hòa,"Nha Trang, Khánh Hòa",88.0,50m² - 100m²,54540000.0,3.0,3.0,4800000000.0,1 tỷ - 5 tỷ,0
800,Đà Nẵng,"Hải Châu, Đà Nẵng",120.0,100m² - 150m²,100000000.0,4.0,5.0,12000000000.0,10 tỷ - 20 tỷ,3
801,Đà Nẵng,"Ngũ Hành Sơn, Đà Nẵng",300.0,250m² - 350m²,96670000.0,4.0,4.0,29000000000.0,20 tỷ - 40 tỷ,3
802,Đà Nẵng,"Ngũ Hành Sơn, Đà Nẵng",300.0,250m² - 350m²,72670000.0,4.0,5.0,21800000000.0,20 tỷ - 40 tỷ,3
803,Lâm Đồng,"Đà Lạt, Lâm Đồng",54.0,50m² - 100m²,68520000.0,4.0,3.0,3700000000.0,1 tỷ - 5 tỷ,2
804,Đà Nẵng,"Ngũ Hành Sơn, Đà Nẵng",300.0,250m² - 350m²,96000000.0,4.0,5.0,28800000000.0,20 tỷ - 40 tỷ,3
805,Đà Nẵng,"Ngũ Hành Sơn, Đà Nẵng",300.0,250m² - 350m²,96000000.0,4.0,5.0,28800000000.0,20 tỷ - 40 tỷ,3
806,Đà Nẵng,"Hải Châu, Đà Nẵng",162.0,150m² - 250m²,49070000.0,3.0,2.0,7950000000.0,5 tỷ - 10 tỷ,3
