,Province,Location,Area,AreaSegment,Price/m2,BedRoom,Toilet,Price,PriceSegment,Province_encoded
37,Bắc Ninh,"Từ Sơn, Bắc Ninh",137.5,100m² - 150m²,101090000.0,5.0,5.0,13900000000.0,10 tỷ - 20 tỷ,1
38,Bắc Ninh,"Từ Sơn, Bắc Ninh",180.0,150m² - 250m²,61110000.0,4.0,5.0,11000000000.0,10 tỷ - 20 tỷ,1
39,Bắc Ninh,"Từ Sơn, Bắc Ninh",120.0,100m² - 150m²,63330000.0,4.0,5.0,7600000000.0,5 tỷ - 10 tỷ,1
40,Thanh Hóa,"Thanh Hóa, Thanh Hóa",72.0,50m² - 100m²,52780000.0,4.0,2.0,3800000000.0,1 tỷ - 5 tỷ,6
41,Bắc Ninh,"Từ Sơn, Bắc Ninh",180.0,150m² - 250m²,61110000.0,4.0,5.0,11000000000.0,10 tỷ - 20 tỷ,1
42,Bắc Ninh,"Từ Sơn, Bắc Ninh",120.0,100m² - 150m²,63330000.0,5.0,5.0,7600000000.0,5 tỷ - 10 tỷ,1
43,Bắc Ninh,"Từ Sơn, Bắc Ninh",120.0,100m² - 150m²,63330000.0,4.0,4.0,7600000000.0,5 tỷ - 10 tỷ,1
44,Hà Nam,"Kim Bảng, Hà Nam",105.0,100m² - 150m²,66670000.0,5.0,3.0,7000000000.0,5 tỷ - 10 tỷ,2
45,Phú Thọ,"Thanh Thủy, Phú Thọ",283.0,250m² - 350m²,20140000.0,2.0,2.0,5700000000.0,5 tỷ - 10 tỷ,5
46,Nghệ An,"Vinh, Nghệ An",101.0,100m² - 150m²,71290000.0,4.0,4.0,7200000000.0,5 tỷ - 10 tỷ,4
47,Bắc Ninh,"Từ Sơn, Bắc Ninh",170.0,150m² - 250m²,55880000.0,3.0,4.0,9500000000.0,5 tỷ - 10 tỷ,1
48,Nghệ An,"Vinh, Nghệ An",108.0,100m² - 150m²,63680000.0,5.0,4.0,6880000000.0,5 tỷ - 10 tỷ,4
49,Kiên Giang,"Rạch Giá, Kiên Giang",100.0,50m² - 100m²,28000000.0,1.0,1.0,2800000000.0,1 tỷ - 5 tỷ,3
50,Nghệ An,"Vinh, Nghệ An",88.0,50m² - 100m²,70460000.0,5.0,4.0,6200000000.0,5 tỷ - 10 tỷ,4
51,Nghệ An,"Vinh, Nghệ An",88.0,50m² - 100m²,70460000.0,5.0,4.0,6200000000.0,5 tỷ - 10 tỷ,4
52,Kiên Giang,"Phú Quốc, Kiên Giang",89.0,50m² - 100m²,84270000.0,6.0,4.0,7500000000.0,5 tỷ - 10 tỷ,3
53,Kiên Giang,"Phú Quốc, Kiên Giang",475.0,350m² - 500m²,8950000.0,4.0,4.0,4250000000.0,1 tỷ - 5 tỷ,3
54,Bình Thuận,"Phan Thiết, Bình Thuận",120.0,100m² - 150m²,36250000.0,3.0,3.0,4350000000.0,1 tỷ - 5 tỷ,0
55,Bình Thuận,"Phan Thiết, Bình Thuận",120.0,100m² - 150m²,36250000.0,3.0,3.0,4350000000.0,1 tỷ - 5 tỷ,0
56,Kiên Giang,"Phú Quốc, Kiên Giang",264.0,250m² - 350m²,20000000.0,2.0,2.0,5280000000.0,5 tỷ - 10 tỷ,3
57,Kiên Giang,"Rạch Giá, Kiên Giang",1635.0,Trên 500m²,13460000.0,2.0,2.0,22000000000.0,20 tỷ - 40 tỷ,3
58,Đắk Lắk,"Buôn Ma Thuột, Đắk Lắk",150.9,150m² - 250m²,23800000.0,2.0,2.0,3590000000.0,1 tỷ - 5 tỷ,7
59,Nghệ An,"Vinh, Nghệ An",124.0,100m² - 150m²,108870000.0,6.0,3.0,13500000000.0,10 tỷ - 20 tỷ,4
60,Nghệ An,"Cửa Lò, Nghệ An",130.0,100m² - 150m²,90770000.0,12.0,12.0,11800000000.0,10 tỷ - 20 tỷ,4
61,Nghệ An,"Vinh, Nghệ An",62.0,50m² - 100m²,109680000.0,4.0,2.0,6800000000.0,5 tỷ - 10 tỷ,4
62,Nghệ An,"Yên Thành, Nghệ An",308.0,250m² - 350m²,17860000.0,3.0,1.0,5500000000.0,5 tỷ - 10 tỷ,4
63,Thanh Hóa,"Sầm Sơn, Thanh Hóa",72.6,50m² - 100m²,24790000.0,3.0,2.0,1800000000.0,1 tỷ - 5 tỷ,6
64,Thanh Hóa,"Sầm Sơn, Thanh Hóa",72.6,50m² - 100m²,24790000.0,3.0,2.0,1800000000.0,1 tỷ - 5 tỷ,6
65,Đắk Lắk,"Buôn Ma Thuột, Đắk Lắk",110.0,100m² - 150m²,22270000.0,3.0,2.0,2450000000.0,1 tỷ - 5 tỷ,7
66,Đắk Lắk,"Buôn Ma Thuột, Đắk Lắk",110.0,100m² - 150m²,22270000.0,3.0,2.0,2450000000.0,1 tỷ - 5 tỷ,7
67,Đắk Lắk,"Buôn Ma Thuột, Đắk Lắk",110.0,100m² - 150m²,22270000.0,3.0,2.0,2450000000.0,1 tỷ - 5 tỷ,7
68,Phú Thọ,"Thanh Thủy, Phú Thọ",352.0,350m² - 500m²,17900000.0,4.0,3.0,6300000000.0,5 tỷ - 10 tỷ,5
69,Phú Thọ,"Thanh Thủy, Phú Thọ",396.0,350m² - 500m²,35610000.0,5.0,6.0,14100000000.0,10 tỷ - 20 tỷ,5
70,Phú Thọ,"Thanh Thủy, Phú Thọ",460.0,350m² - 500m²,33040000.0,5.0,6.0,15200000000.0,10 tỷ - 20 tỷ,5
71,Phú Thọ,"Thanh Thủy, Phú Thọ",397.0,350m² - 500m²,24430000.0,6.0,6.0,9700000000.0,5 tỷ - 10 tỷ,5
72,Thanh Hóa,"Thanh Hóa, Thanh Hóa",145.0,100m² - 150m²,51720000.0,14.0,13.0,7500000000.0,5 tỷ - 10 tỷ,6
73,Bắc Ninh,"Từ Sơn, Bắc Ninh",139.0,100m² - 150m²,53960000.0,6.0,6.0,7500000000.0,5 tỷ - 10 tỷ,1
74,Bắc Ninh,"Từ Sơn, Bắc Ninh",194.0,150m² - 250m²,50260000.0,4.0,5.0,9750000000.0,5 tỷ - 10 tỷ,1
75,Đắk Lắk,"Buôn Ma Thuột, Đắk Lắk",352.0,350m² - 500m²,5680000.0,3.0,1.0,2000000000.0,1 tỷ - 5 tỷ,7
76,Kiên Giang,"Rạch Giá, Kiên Giang",100.0,50m² - 100m²,27000000.0,1.0,1.0,2700000000.0,1 tỷ - 5 tỷ,3
77,Thanh Hóa,"Sầm Sơn, Thanh Hóa",228.0,150m² - 250m²,100880000.0,27.0,29.0,23000000000.0,20 tỷ - 40 tỷ,6
