,Province,Location,Area,AreaSegment,Price/m2,BedRoom,Toilet,Price,PriceSegment,Province_encoded
179,Bình Dương,"Thủ Dầu Một, Bình Dương",73.5,50m² - 100m²,63260000.0,3.0,3.0,4650000000.0,1 tỷ - 5 tỷ,0
180,Bình Dương,"Dĩ An, Bình Dương",65.0,50m² - 100m²,115380000.0,3.0,3.0,7500000000.0,5 tỷ - 10 tỷ,0
181,Đồng Nai,"Nhơn Trạch, Đồng Nai",540.0,Trên 500m²,66670000.0,6.0,4.0,36000000000.0,20 tỷ - 40 tỷ,2
182,Đồng Nai,"Nhơn Trạch, Đồng Nai",320.0,250m² - 350m²,53120000.0,3.0,3.0,17000000000.0,10 tỷ - 20 tỷ,2
183,Đồng Nai,"Nhơn Trạch, Đồng Nai",126.0,100m² - 150m²,61900000.0,4.0,4.0,7800000000.0,5 tỷ - 10 tỷ,2
184,Bình Dương,"Phú Giáo, Bình Dương",120.0,100m² - 150m²,22500000.0,3.0,3.0,2700000000.0,1 tỷ - 5 tỷ,0
185,Bình Dương,"Bàu Bàng, Bình Dương",100.0,50m² - 100m²,22000000.0,4.0,3.0,2200000000.0,1 tỷ - 5 tỷ,0
186,Long An,"Đức Hòa, Long An",88.0,50m² - 100m²,18070000.0,2.0,1.0,1590000000.0,1 tỷ - 5 tỷ,1
187,Long An,"Đức Hòa, Long An",75.0,50m² - 100m²,32000000.0,3.0,3.0,2400000000.0,1 tỷ - 5 tỷ,1
188,Long An,"Đức Hòa, Long An",75.0,50m² - 100m²,32000000.0,3.0,3.0,2400000000.0,1 tỷ - 5 tỷ,1
189,Đồng Nai,"Biên Hòa, Đồng Nai",800.0,Trên 500m²,35000000.0,3.0,3.0,28000000000.0,20 tỷ - 40 tỷ,2
190,Bình Dương,"Thuận An, Bình Dương",68.0,50m² - 100m²,45590000.0,2.0,2.0,3100000000.0,1 tỷ - 5 tỷ,0
191,Bình Dương,"Thuận An, Bình Dương",55.0,50m² - 100m²,37270000.0,3.0,2.0,2049999999.9999998,1 tỷ - 5 tỷ,0
192,Bình Dương,"Thuận An, Bình Dương",55.0,50m² - 100m²,37270000.0,3.0,2.0,2049999999.9999998,1 tỷ - 5 tỷ,0
193,Bình Dương,"Dĩ An, Bình Dương",68.5,50m² - 100m²,52560000.0,4.0,2.0,3600000000.0,1 tỷ - 5 tỷ,0
